,,2010,2011,2012,2013,2014,2015,2016,Total
 Apple,Annual Return,76.67,33.51,2.06,12.01,69.71,-16.74,-2.92,281.01
,Relative Return,4.2,-8.95,0.15,1.05,9.53,1.69,0.7,7.03
,Historical Volatility,5.28,3.89,7.54,6.83,13.54,8.66,1.12,28.35
B of A,Annual Return,-9.28,-48.26,63.31,45.6,-6.82,-7.24,-15.49,-3.53
,Relative Return,-0.51,12.89,4.5,3.97,-0.93,0.73,3.7,-0.09
,Historical Volatility,1.98,3.11,1.31,1.44,0.88,0.99,0.91,3.52
Exxon,Annual Return,28.61,8.47,10.06,6.48,-5.31,-8.06,5.03,42.33
,Relative Return,1.57,-2.26,0.72,0.56,-0.73,0.81,-1.2,1.06
,Historical Volatility,4.74,3.95,3.21,3.86,3.85,4.61,2.18,11.87
GE,Annual Return,28.78,-2.88,23.51,16.04,-1.42,25.02,-2.89,120.92
,Relative Return,1.58,0.77,1.67,1.39,-0.19,-2.53,0.69,3.03
,Historical Volatility,1.17,1.55,1.2,1.66,0.71,2.14,0.48,4.95
Walmart,Absolute Return,7.36,12.32,16.82,8.63,21.35,-22.25,-0.27,44.38
,Relative Return,0.4,-3.29,1.2,0.75,2.92,2.25,0.06,1.11
,Historical Volatility,1.69,2.72,5.57,2.81,4.51,8.35,0.63,12.07
Total,Annual Return,132.14,3.16,115.76,88.76,77.51,-29.27,-16.54,1124.53
,Relative Return,7.24,-0.84,8.24,7.72,10.6,2.95,3.95,12.14
,Historical Volatility,7.65,7.09,10.07,8.62,14.82,13.1,2.73,33.57
Market,Annual Return,18.24,-3.74,14.06,11.5,7.31,-9.9,-4.18,39.95
